datetime,open,high,low,close,volume,opeinterest
2014/3/24 0:00,3314,3330,3266,3330,86810,47616
2014/3/25 0:00,3326,3400,3320,3378,119854,61256
2014/3/26 0:00,3370,3382,3354,3376,37876,60560
2014/3/27 0:00,3368,3386,3350,3362,40230,61430
2014/3/28 0:00,3376,3386,3360,3382,34290,63080
2014/3/31 0:00,3396,3422,3382,3410,60970,65640
2014/4/1 0:00,3412,3418,3396,3414,17896,64136
2014/4/2 0:00,3410,3426,3388,3390,28570,68700
2014/4/3 0:00,3384,3414,3382,3410,20706,68410
2014/4/4 0:00,3412,3440,3402,3440,21360,70094
2014/4/8 0:00,3450,3488,3442,3480,40286,80872
2014/4/9 0:00,3488,3488,3444,3452,32902,81834
2014/4/10 0:00,3450,3470,3442,3446,19630,81232
2014/4/11 0:00,3430,3452,3430,3434,13100,76840
2014/4/14 0:00,3432,3464,3432,3438,12642,77020
2014/4/15 0:00,3442,3448,3418,3448,20724,75524
2014/4/16 0:00,3446,3446,3410,3418,18538,68152
2014/4/17 0:00,3428,3428,3410,3412,5590,67404
2014/4/18 0:00,3410,3412,3346,3354,51760,66498
2014/4/21 0:00,3340,3364,3340,3340,8292,64836
2014/4/22 0:00,3340,3366,3324,3354,23958,60950
2014/4/23 0:00,3358,3388,3336,3380,19844,58920
2014/4/24 0:00,3376,3396,3366,3390,12648,58086
2014/4/25 0:00,3398,3400,3372,3378,8566,58570
2014/4/28 0:00,3372,3372,3334,3336,17354,56630
2014/4/29 0:00,3334,3374,3334,3360,8736,55692
2014/4/30 0:00,3370,3370,3338,3344,9948,55210
2014/5/5 0:00,3334,3362,3224,3352,11568,53726
2014/5/6 0:00,3342,3364,3336,3344,4722,52980
2014/5/7 0:00,3338,3358,3330,3332,9532,52784
2014/5/8 0:00,3330,3338,3310,3312,13298,49644
2014/5/9 0:00,3312,3330,3302,3318,9612,49350
2014/5/12 0:00,3332,3336,3298,3336,11512,48264
2014/5/13 0:00,3336,3346,3320,3326,6694,47826
2014/5/14 0:00,3326,3330,3314,3324,7744,45016
2014/5/15 0:00,3324,3328,3298,3300,4666,44738
2014/5/16 0:00,3294,3300,3240,3272,11898,44178
2014/5/19 0:00,3262,3284,3250,3264,7402,43860
2014/5/20 0:00,3260,3276,3254,3262,3226,43792
2014/5/21 0:00,3264,3284,3254,3274,5076,44056
2014/5/22 0:00,3272,3314,3272,3280,5670,44030
2014/5/23 0:00,3286,3294,3276,3282,2478,43846
2014/5/26 0:00,3288,3330,3286,3326,6526,43958
