datetime,open,high,low,close,volume,opeinterest
2013/10/21 0:00,976,977,960,969,95432,68130
2013/10/22 0:00,963,966,948,948,91296,76004
2013/10/23 0:00,949,953,936,939,116490,81162
2013/10/24 0:00,938,939,916,926,169028,87872
2013/10/25 0:00,928,936,917,918,104060,86472
2013/10/28 0:00,920,928,917,923,83790,93480
2013/10/29 0:00,924,925,913,921,105876,99058
2013/10/30 0:00,919,930,916,924,118272,91262
2013/10/31 0:00,925,927,920,922,74672,84820
2013/11/1 0:00,921,954,921,942,321242,107582
2013/11/4 0:00,943,957,942,950,175080,122298
2013/11/5 0:00,948,954,943,946,108384,121942
2013/11/6 0:00,949,951,942,944,69362,123650
2013/11/7 0:00,945,947,939,945,91676,124958
2013/11/8 0:00,947,948,936,939,66340,120532
2013/11/11 0:00,940,944,934,942,57564,112342
2013/11/12 0:00,940,944,936,943,45594,107938
2013/11/13 0:00,941,952,940,943,96484,110812
2013/11/14 0:00,940,944,937,937,55752,103446
2013/11/15 0:00,939,942,930,931,76014,102752
2013/11/18 0:00,931,935,925,932,52704,99378
2013/11/19 0:00,931,943,930,943,60164,106904
2013/11/20 0:00,943,946,940,942,43452,104228
2013/11/21 0:00,942,943,932,932,41322,105090
2013/11/22 0:00,934,935,929,931,52592,106092
2013/11/25 0:00,933,936,928,933,38196,104188
2013/11/26 0:00,934,943,934,941,72650,108162
2013/11/27 0:00,940,942,933,936,30614,106536
2013/11/28 0:00,933,940,933,939,27220,105728
2013/11/29 0:00,939,945,939,939,33364,106418
2013/12/2 0:00,940,941,934,936,41520,108744
2013/12/3 0:00,938,941,936,939,35426,105336
2013/12/4 0:00,942,955,941,952,94420,114382
2013/12/5 0:00,953,956,944,945,52990,114538
2013/12/6 0:00,944,945,938,941,40044,108430
2013/12/9 0:00,941,946,940,945,19390,112378
2013/12/10 0:00,946,947,942,942,16900,109726
2013/12/11 0:00,942,942,934,937,38984,108132
2013/12/12 0:00,936,938,930,930,35494,108944
2013/12/13 0:00,927,927,905,914,91394,116740
2013/12/16 0:00,913,923,912,918,39670,121312
2013/12/17 0:00,918,920,908,910,24582,124712
2013/12/18 0:00,908,913,902,906,71224,128188
2013/12/19 0:00,909,913,907,908,30298,128266
2013/12/20 0:00,909,913,901,905,34754,127190
2013/12/23 0:00,904,905,885,893,128512,135724
2013/12/24 0:00,892,907,892,900,95624,121156
2013/12/25 0:00,903,904,898,903,48792,114208
2013/12/26 0:00,903,904,885,896,84590,124116
2013/12/27 0:00,898,910,896,907,87282,107922
2013/12/30 0:00,908,920,908,911,85206,104050
2013/12/31 0:00,908,914,899,911,72580,98646
2014/1/2 0:00,912,912,899,907,56510,107880
2014/1/3 0:00,904,905,887,902,132754,122358
2014/1/6 0:00,900,900,888,893,108602,142642
2014/1/7 0:00,892,899,887,896,86452,149034
2014/1/8 0:00,895,897,884,892,101252,157264
2014/1/9 0:00,891,899,884,888,102048,161606
2014/1/10 0:00,885,886,870,881,180252,163378
2014/1/13 0:00,879,880,868,871,108274,178106
2014/1/14 0:00,875,881,866,880,94136,178102
2014/1/15 0:00,880,882,875,879,68854,184704
2014/1/16 0:00,880,885,875,879,66036,186510
2014/1/17 0:00,876,878,870,876,84072,184412
2014/1/20 0:00,872,876,859,861,95418,195022
2014/1/21 0:00,860,861,843,847,124490,208510
2014/1/22 0:00,850,858,845,852,76044,208986
2014/1/23 0:00,857,885,855,878,217640,194104
2014/1/24 0:00,877,880,871,877,103512,176300
2014/1/27 0:00,871,874,861,864,79904,184670
2014/1/28 0:00,863,867,857,857,63410,184348
2014/1/29 0:00,857,868,856,866,52374,183982
2014/1/30 0:00,864,871,860,868,37122,181866
2014/2/7 0:00,865,868,853,856,85620,168784
2014/2/10 0:00,856,859,846,854,97430,174428
2014/2/11 0:00,852,857,845,848,71852,179890
2014/2/12 0:00,849,855,844,853,71244,178688
2014/2/13 0:00,853,858,850,854,63372,175878
2014/2/14 0:00,854,865,854,861,79268,177852
2014/2/17 0:00,862,874,862,873,139234,160886
2014/2/18 0:00,876,878,860,860,88882,156626
