datetime,open,high,low,close,volume,opeinterest
2011/4/18 0:00,2233,2388,2233,2381,132702,19488
2011/4/19 0:00,2375,2384,2320,2336,204462,23270
2011/4/20 0:00,2350,2395,2328,2343,175506,23484
2011/4/21 0:00,2353,2363,2323,2335,97576,22246
2011/4/22 0:00,2336,2351,2297,2330,128218,18880
2011/4/25 0:00,2340,2359,2317,2329,64954,18038
2011/4/26 0:00,2315,2329,2303,2322,44336,17852
2011/4/27 0:00,2332,2339,2315,2320,32038,16356
2011/4/28 0:00,2330,2347,2326,2337,26286,14190
2011/4/29 0:00,2337,2343,2323,2329,17654,11762
2011/5/3 0:00,2330,2354,2326,2344,26594,12876
2011/5/4 0:00,2341,2346,2320,2329,14518,10782
2011/5/5 0:00,2309,2319,2293,2308,13896,10736
2011/5/6 0:00,2255,2289,2255,2271,14736,10206
2011/5/9 0:00,2280,2284,2273,2280,7240,9292
2011/5/10 0:00,2285,2288,2275,2287,7890,8290
2011/5/11 0:00,2293,2338,2286,2314,30078,9430
2011/5/12 0:00,2290,2352,2288,2344,61826,17712
2011/5/13 0:00,2360,2444,2353,2419,134808,26414
2011/5/16 0:00,2415,2423,2396,2407,57056,25800
2011/5/17 0:00,2414,2417,2371,2391,57660,21764
2011/5/18 0:00,2400,2423,2370,2372,70386,21830
2011/5/19 0:00,2394,2394,2363,2367,47602,18316
2011/5/20 0:00,2364,2392,2362,2376,37048,18196
2011/5/23 0:00,2388,2389,2350,2357,18982,17736
2011/5/24 0:00,2356,2380,2345,2380,30504,20964
2011/5/25 0:00,2382,2385,2366,2375,18206,18796
2011/5/26 0:00,2385,2398,2377,2378,19554,19388
2011/5/27 0:00,2379,2380,2351,2371,21708,18558
2011/5/30 0:00,2370,2382,2360,2365,16418,17792
2011/5/31 0:00,2370,2378,2361,2364,15208,15882
2011/6/1 0:00,2370,2375,2357,2359,13608,15718
2011/6/2 0:00,2351,2363,2337,2339,18632,15418
2011/6/3 0:00,2340,2344,2320,2326,16864,15508
2011/6/7 0:00,2321,2341,2312,2331,15600,14872
2011/6/8 0:00,2338,2338,2320,2326,7924,14088
2011/6/9 0:00,2330,2333,2318,2318,8022,14184
2011/6/10 0:00,2324,2324,2306,2311,12900,15946
