datetime,open,high,low,close,volume,opeinterest
2010/1/4 0:00,4523,4610,4523,4579,1809996,965458
2010/1/5 0:00,4592,4606,4572,4589,1320756,987708
2010/1/6 0:00,4587,4635,4581,4622,1481228,1027884
2010/1/7 0:00,4641,4650,4389,4489,2196160,932514
2010/1/8 0:00,4505,4510,4412,4462,1520076,894544
2010/1/11 0:00,4495,4518,4475,4516,1130570,939144
2010/1/12 0:00,4505,4528,4480,4510,1176288,957810
2010/1/13 0:00,4420,4460,4354,4418,1461688,906786
2010/1/14 0:00,4450,4464,4430,4433,1076498,938680
2010/1/15 0:00,4419,4436,4355,4368,1276950,939862
2010/1/18 0:00,4339,4399,4310,4395,1148302,943604
2010/1/19 0:00,4405,4418,4361,4382,1236092,888684
2010/1/20 0:00,4392,4394,4341,4364,1243448,847790
2010/1/21 0:00,4337,4366,4326,4352,960118,862226
2010/1/22 0:00,4319,4335,4257,4288,1207020,856708
2010/1/25 0:00,4280,4295,4265,4278,870946,874294
2010/1/26 0:00,4286,4290,4258,4265,818680,852992
2010/1/27 0:00,4275,4327,4265,4316,1452742,891916
2010/1/28 0:00,4260,4319,4255,4293,1793390,914470
2010/1/29 0:00,4281,4315,4276,4300,1234868,870164
2010/2/1 0:00,4317,4334,4276,4295,1156486,861912
2010/2/2 0:00,4316,4323,4126,4159,2453186,825676
2010/2/3 0:00,4175,4188,4136,4180,1448904,802842
2010/2/4 0:00,4150,4158,4093,4115,1152398,775898
2010/2/5 0:00,4090,4110,4066,4109,849138,711780
2010/2/8 0:00,4120,4139,4103,4129,577962,685168
2010/2/9 0:00,4123,4166,4115,4157,617652,690518
2010/2/10 0:00,4172,4219,4156,4198,732940,680758
2010/2/11 0:00,4210,4236,4190,4229,497494,676876
2010/2/12 0:00,4246,4299,4233,4293,599774,656346
2010/2/22 0:00,4330,4376,4229,4243,1055136,710878
2010/2/23 0:00,4240,4297,4220,4283,1147210,798784
2010/2/24 0:00,4261,4281,4233,4253,1098624,824246
